student,degree,act,scholarship,ap_courses,first_gen,non_traditional
729,Yes,25,0,0,Yes,No
730,Yes,22,0,0,No,No
731,Yes,29,0,0,Yes,No
732,No,24,0,10,Yes,No
733,Yes,28,0,0,Yes,No
734,Yes,31,0,45,Yes,No
735,Yes,20,0,0,No,No
736,No,22,0,0,No,No
737,No,24,0,4,Yes,No
738,Yes,29,0,13,Yes,No
739,Yes,26,0,4,Yes,No
740,No,13,0,0,No,No
741,Yes,27,0,7,Yes,No
742,Yes,20,0,0,Yes,No
743,Yes,20,0,0,Yes,No
744,No,22,0,0,No,No
745,No,24,0,0,No,No
746,No,27,0,0,Yes,No
747,Yes,24,0,0,Yes,No
748,No,22,0,0,No,No
749,Yes,21,0,0,Yes,No
750,Yes,27,0,7,Yes,No
751,No,22,0,0,No,No
752,Yes,23,0,0,No,No
753,No,14,0,0,No,No
754,Yes,22,0,0,No,No
755,Yes,27,0,0,No,No
756,Yes,23,0,0,Yes,No
757,No,20,0,0,No,No
758,Yes,18,0,0,No,No
759,Yes,29,0,0,No,No
760,Yes,27,0,4,Yes,No
761,Yes,31,2.75,11,Yes,No
762,Yes,22,0,0,No,No
763,No,24,0,0,Yes,No
764,Yes,28,2.5,0,Yes,No
765,Yes,23,0,0,No,No
766,No,26,0,0,Yes,No
767,Yes,27,0,4,Yes,No
768,Yes,28,0,4,Yes,No
769,Yes,17,1,6,No,No
770,Yes,29,0,0,Yes,No
771,Yes,23,0,0,Yes,No
772,Yes,24,0,0,No,No
773,No,22,0,0,Yes,No
774,No,31,2.5,0,Yes,No
775,Yes,26,0,8,Yes,No
776,No,23,0,0,Yes,No
777,No,35,2.5,39,Yes,No
778,Yes,26,0,4,Yes,No
779,Yes,29,0,12,Yes,No
780,Yes,27,0,0,Yes,No
781,Yes,20,0,0,No,No
782,Yes,24,0,0,No,No
783,Yes,20,0,0,Yes,No
784,Yes,15,0,0,Yes,No
785,Yes,21,2.25,4,Yes,No
786,Yes,23,0.5,0,Yes,No
787,Yes,17,0,0,Yes,No
788,Yes,24,0,0,Yes,No
789,Yes,20,0,0,Yes,No
790,Yes,26,0,0,Yes,No
791,Yes,31,0,6,Yes,No
792,Yes,18,0,0,No,No
793,No,24,0,6,Yes,No
794,Yes,27,0,23,Yes,No
795,Yes,27,0,4,Yes,No
796,Yes,20,0,0,No,No
797,Yes,18,0,0,No,Yes
798,Yes,28,1.5,10,Yes,No
799,Yes,30,0,4,Yes,No
800,Yes,32,0,0,Yes,No
801,No,26,0,0,Yes,No
802,No,31,0,4,No,No
803,Yes,30,0,31,Yes,No
804,No,21,0,0,Yes,No
805,Yes,19,0,0,Yes,No
806,Yes,18,0,0,Yes,No
807,Yes,24,0,8,Yes,No
808,No,27,0,0,No,No
809,Yes,23,0,0,Yes,No
810,Yes,29,0.5,0,Yes,No
